text,label
"Scientists discover new planet in our solar system with potential for life",0
"Breaking: Aliens land in New York City, demand to speak with world leaders",1
"Stock market reaches new high amid economic recovery",0
"Local man discovers cure for cancer using household items",1
"New study shows benefits of regular exercise for mental health",0
"Government secretly controls weather using hidden technology",1
"University researchers develop new renewable energy solution",0
"Celebrity spotted with three-headed alien baby",1
"Climate change report shows urgent need for action",0
"Miracle diet pill makes you lose 50 pounds overnight",1
